CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
53033000100,Washington,King County,1,6255,3146,0,47,0.75,0,1,0,1,1,1,14.5,77917,0,1,0,1,0,0,0,1,0,1868,0,0,526,0,1868,29.87,526,8.41,370,5.92,202,3.24,1107,17.69,279,4.46,241,3.85,6,0.09,23,0.37,213,3.40,202,3.24,116,3.68,160,5.10,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2741,1039,674,3665,849,904,47,83,707,737,709,708
53033000200,Washington,King County,1,7646,3499,0,69,0.90,0,1,0,0,0,1,11.4,78571,0,1,0,1,0,0,0,0,NULL,1957,NULL,NULL,419,NULL,1957,25.60,419,5.48,305,3.99,279,3.65,1312,17.16,113,1.48,342,4.47,5,0.06,14,0.19,171,2.23,147,1.93,62,1.78,98,2.80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2152,1230,1064,5093,513,1325,35,54,626,516,234,406
53033000300,Washington,King County,1,2603,1090,0,9,0.35,0,0,0,0,0,0,11.1,113413,0,1,0,1,0,0,0,0,NULL,1324,NULL,NULL,186,NULL,1324,50.86,186,7.16,245,9.41,160,6.15,937,36.01,44,1.70,207,7.94,1,0.04,15,0.57,120,4.61,81,3.11,23,2.08,8,0.70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,597,485,271,1753,167,374,11,26,272,207,72,17
53033000401,Washington,King County,1,5551,3134,0,128,2.31,0,0,0,0,0,0,18.1,85611,0,1,0,1,0,0,0,0,NULL,1456,NULL,NULL,336,NULL,1456,26.23,336,6.05,216,3.88,263,4.73,1020,18.37,130,2.33,146,2.62,8,0.15,11,0.19,143,2.57,139,2.50,42,1.35,167,5.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2212,711,1143,3574,639,735,37,66,500,406,990,903
53033000402,Washington,King County,1,4841,2317,0,269,5.56,0,0,0,0,1,0,8.0,111571,0,1,0,1,0,0,0,1,NULL,3813,NULL,NULL,816,NULL,3813,78.76,816,16.85,490,10.12,1143,23.62,3002,62.01,174,3.58,297,6.14,4,0.09,33,0.68,303,6.25,202,4.18,382,16.49,179,7.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1054,674,1239,3737,253,402,5,45,399,313,432,227
53033000500,Washington,King County,1,3165,1289,0,23,0.73,0,0,0,0,0,0,2.9,156776,1,1,1,1,1,0,0,0,1059,3161,1059,59,257,59,3161,99.88,257,8.11,628,19.84,608,19.22,2773,87.62,41,1.30,216,6.83,5,0.16,9,0.28,117,3.70,63,1.99,28,2.15,0,0.00,1059,33.45,59,1.87,215,6.79,223,7.03,929,29.34,14,0.46,76,2.41,1,0.05,3,0.11,35,1.09,21,0.65,8,0.65,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,245,628,610,2776,41,217,5,9,117,63,27,0
53033000600,Washington,King County,1,7626,3345,0,47,0.62,0,1,0,0,0,1,13.0,69531,0,1,0,1,0,0,0,0,NULL,2545,NULL,NULL,736,NULL,2545,33.37,736,9.65,487,6.38,334,4.38,1726,22.63,170,2.23,365,4.79,7,0.09,29,0.38,247,3.23,214,2.81,23,0.68,93,2.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2465,1325,1004,4845,538,1403,23,64,753,640,303,297
53033000700,Washington,King County,1,4438,2114,0,12,0.27,0,0,0,0,0,0,12.7,82051,0,0,0,0,0,0,0,0,NULL,80,NULL,NULL,17,NULL,80,1.80,17,0.39,14,0.32,12,0.27,66,1.48,1,0.02,9,0.20,0,0.00,0,0.01,4,0.09,4,0.09,1,0.04,3,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1115,688,400,2829,393,720,18,61,417,464,275,168
53033000800,Washington,King County,1,2583,1033,0,59,2.28,0,0,0,0,0,0,9.8,135272,0,1,0,1,0,0,0,0,97,1769,97,14,244,14,1769,68.50,244,9.46,359,13.89,269,10.41,1437,55.62,38,1.48,147,5.69,11,0.43,11,0.43,125,4.86,58,2.26,6,0.59,48,4.65,97,3.74,14,0.52,21,0.80,11,0.44,71,2.74,3,0.10,13,0.51,0,0.00,0,0.01,10,0.38,5,0.19,0,0.00,2,0.23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,359,526,345,1996,84,289,14,18,182,103,21,75
53033000900,Washington,King County,1,2019,836,0,16,0.79,0,0,0,0,0,0,4.5,179375,1,1,1,1,1,0,0,0,796,1871,796,65,149,65,1871,92.68,149,7.36,338,16.76,320,15.86,1559,77.23,16,0.79,186,9.23,3,0.15,10,0.51,96,4.78,67,3.33,20,2.35,12,1.49,796,39.41,65,3.22,143,7.09,149,7.36,668,33.10,5,0.27,84,4.15,1,0.06,2,0.09,35,1.75,21,1.06,8,0.92,5,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,158,362,336,1683,16,196,3,11,110,73,22,14
53033001000,Washington,King County,1,1941,765,0,21,1.08,0,0,0,0,0,0,15.1,92500,0,1,0,1,0,0,0,0,NULL,1932,NULL,NULL,528,NULL,1932,99.52,528,27.20,463,23.83,172,8.84,1309,67.46,201,10.35,259,13.35,3,0.15,23,1.18,136,7.02,108,5.55,40,5.18,92,12.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,576,464,172,1316,202,260,3,23,137,108,40,93
53033001100,Washington,King County,1,2503,1058,0,111,4.43,0,0,0,0,0,0,10.2,112708,0,1,0,1,0,0,0,0,NULL,1510,NULL,NULL,214,NULL,1510,60.35,214,8.56,239,9.56,124,4.97,1122,44.81,87,3.48,159,6.34,2,0.08,23,0.90,119,4.73,116,4.65,44,4.18,61,5.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,363,421,272,1887,112,301,2,26,175,178,68,100
53033001200,Washington,King County,1,6494,3418,0,38,0.59,0,1,0,0,0,1,23.0,61264,0,1,0,1,0,0,0,0,NULL,656,NULL,NULL,150,NULL,656,10.11,150,2.30,113,1.73,54,0.84,484,7.45,15,0.24,89,1.37,0,0.00,7,0.11,61,0.94,27,0.42,27,0.79,26,0.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2898,930,947,4008,570,1056,68,95,697,669,799,355
53033001300,Washington,King County,1,4340,2131,0,3,0.07,0,0,0,0,0,0,9.6,90962,0,0,0,0,0,0,0,0,NULL,301,NULL,NULL,74,NULL,301,6.94,74,1.70,36,0.84,13,0.30,227,5.24,12,0.27,36,0.82,0,0.00,1,0.03,25,0.58,23,0.53,14,0.68,22,1.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1084,552,361,2778,307,687,17,45,506,514,317,327
53033001400,Washington,King County,1,4848,2172,0,92,1.90,0,0,0,0,0,0,8.9,106711,0,1,0,1,0,0,0,0,32,1093,32,3,266,3,1093,22.54,266,5.48,216,4.45,114,2.35,917,18.92,30,0.63,71,1.45,2,0.04,8,0.16,65,1.33,44,0.91,45,2.06,51,2.35,32,0.66,3,0.06,8,0.17,5,0.11,30,0.62,0,0.00,2,0.04,0,0.00,0,0.00,0,0.01,1,0.02,0,0.02,1,0.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1043,855,477,3901,184,346,7,49,361,313,185,254
53033001500,Washington,King County,1,2454,1072,0,0,0.00,0,0,0,0,0,0,5.3,141875,0,1,0,1,0,0,0,0,93,2101,93,15,208,15,2101,85.61,208,8.47,397,16.16,302,12.32,1926,78.50,10,0.39,62,2.52,1,0.04,8,0.33,94,3.83,68,2.78,34,3.15,0,0.00,93,3.80,15,0.61,20,0.80,12,0.47,87,3.55,0,0.00,2,0.08,0,0.00,0,0.00,4,0.16,2,0.09,1,0.13,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,211,472,351,2249,14,75,1,11,104,74,42,0
53033001600,Washington,King County,1,4131,1777,0,26,0.63,0,0,0,0,0,0,7.1,161875,0,1,0,1,0,0,0,0,0,1274,0,0,104,0,1274,30.85,104,2.52,297,7.20,241,5.84,1190,28.81,7,0.17,37,0.90,1,0.02,6,0.15,33,0.79,23,0.55,12,0.65,18,1.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,578,863,659,3542,76,244,3,29,237,199,88,65
53033001701,Washington,King County,1,3818,1931,0,8,0.21,0,0,0,0,0,0,13.5,85000,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1065,570,254,2763,227,431,22,48,327,314,371,243
53033001702,Washington,King County,1,4234,1911,0,148,3.50,0,0,0,0,0,0,10.4,111144,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1190,610,477,3267,175,419,13,55,305,305,326,239
53033001800,Washington,King County,1,4535,2136,0,32,0.71,0,0,0,0,0,0,9.4,99297,0,1,0,1,0,0,0,0,NULL,3920,NULL,NULL,895,NULL,3920,86.45,895,19.73,511,11.28,152,3.36,2739,60.40,235,5.19,556,12.25,6,0.13,31,0.69,352,7.77,276,6.09,93,4.34,95,4.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1206,585,190,3221,259,608,6,37,404,311,122,120
53033001900,Washington,King County,1,4157,1889,0,114,2.74,0,0,0,0,1,0,9.2,126087,0,1,0,1,0,0,0,1,NULL,3944,NULL,NULL,674,NULL,3944,94.87,674,16.22,669,16.09,361,8.68,3005,72.30,124,2.99,485,11.67,9,0.21,28,0.67,292,7.03,212,5.11,190,10.05,83,4.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,884,678,384,3121,130,554,11,29,312,224,298,108
53033002000,Washington,King County,1,3406,1568,0,18,0.53,0,0,0,0,1,0,7.2,145227,0,1,0,1,0,0,0,1,NULL,3406,NULL,NULL,552,NULL,3406,100.00,552,16.21,586,17.20,362,10.63,2785,81.77,77,2.26,283,8.31,4,0.12,23,0.68,234,6.87,146,4.29,129,8.24,63,4.00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,622,586,362,2785,77,283,4,23,234,146,134,66
53033002100,Washington,King County,1,3807,1678,0,52,1.37,0,0,0,0,0,0,7.9,158618,0,1,0,1,0,0,0,0,NULL,3160,NULL,NULL,463,NULL,3160,83.01,463,12.15,596,15.66,317,8.33,2486,65.31,81,2.13,345,9.05,2,0.05,44,1.15,202,5.31,207,5.44,60,3.57,75,4.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,608,718,413,3034,89,400,2,48,234,227,69,96
53033002200,Washington,King County,1,5286,2131,0,32,0.61,0,0,0,0,0,0,4.6,193108,0,1,0,1,0,0,0,0,389,4023,389,89,467,89,4023,76.11,467,8.84,851,16.09,747,14.14,3318,62.77,57,1.09,421,7.97,4,0.08,8,0.16,214,4.05,151,2.85,55,2.57,26,1.20,389,7.36,89,1.69,94,1.78,70,1.33,324,6.14,7,0.14,36,0.69,0,0.01,0,0.00,20,0.39,22,0.41,0,0.00,2,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,611,1130,944,4382,72,549,5,11,267,189,101,37
53033002400,Washington,King County,1,2972,1244,0,0,0.00,0,0,0,0,0,0,6.8,136207,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,386,660,353,2485,31,273,6,8,169,91,36,40
53033002500,Washington,King County,1,2802,1245,0,0,0.00,0,0,0,0,0,0,7.7,149688,0,1,0,1,0,0,0,0,NULL,2063,NULL,NULL,361,NULL,2063,73.61,361,12.87,363,12.96,206,7.35,1749,62.42,31,1.11,147,5.23,1,0.04,7,0.26,127,4.55,93,3.31,63,5.05,33,2.68,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,657,521,301,2322,58,235,2,9,176,120,87,47
