CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
53033012000,Washington,King County,1,3349,1448,0,0,0.00,0,0,0,0,0,0,3.6,139135,0,1,0,1,0,0,0,0,83,2521,83,4,138,4,2521,75.26,138,4.12,519,15.48,267,7.98,2114,63.12,49,1.47,145,4.32,10,0.29,19,0.56,184,5.50,163,4.85,22,1.52,56,3.89,83,2.49,4,0.11,19,0.58,14,0.41,76,2.28,1,0.02,2,0.07,2,0.05,0,0.00,2,0.07,5,0.16,1,0.04,2,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266,668,339,2777,69,195,12,27,269,239,36,82
53033012100,Washington,King County,1,2681,1164,0,8,0.30,0,0,0,0,0,0,1.3,139946,1,1,1,1,1,0,0,0,1407,2681,1407,88,148,88,2681,100.00,148,5.52,493,18.39,498,18.58,2305,85.98,29,1.08,131,4.89,21,0.78,16,0.60,179,6.68,126,4.70,13,1.10,37,3.22,1407,52.47,88,3.27,225,8.41,314,11.72,1241,46.30,8,0.30,73,2.74,10,0.37,4,0.13,70,2.63,54,2.02,11,0.97,21,1.77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145,493,498,2305,29,131,21,16,179,126,13,38
53033020100,Washington,King County,1,3156,1252,0,150,4.75,0,0,0,0,0,0,4.6,140234,1,1,1,1,1,0,0,0,1016,2881,1016,74,400,74,2881,91.27,400,12.67,532,16.84,578,18.31,2487,78.80,10,0.31,237,7.51,8,0.25,10,0.31,129,4.09,56,1.77,13,1.05,50,4.00,1016,32.19,74,2.33,172,5.46,183,5.78,850,26.92,3,0.08,107,3.40,5,0.16,2,0.06,49,1.56,18,0.59,2,0.17,18,1.43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,464,565,702,2736,11,248,9,11,141,62,15,56
53033020200,Washington,King County,1,5566,2187,0,218,3.92,0,0,0,0,0,0,7.2,108125,0,1,0,1,0,0,0,0,NULL,2950,NULL,NULL,467,NULL,2950,53.00,467,8.39,539,9.68,809,14.53,2375,42.67,89,1.60,348,6.25,0,0.00,12,0.21,126,2.26,118,2.12,80,3.68,78,3.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,752,1076,1296,4382,212,643,11,26,292,260,197,145
53033020300,Washington,King County,1,6434,2874,0,128,1.99,0,0,0,0,1,0,14.8,92642,0,1,0,1,0,0,0,1,NULL,5146,NULL,NULL,1244,NULL,5146,79.99,1244,19.34,871,13.54,702,10.91,3235,50.29,307,4.78,1126,17.50,19,0.29,54,0.85,405,6.29,366,5.69,200,6.97,266,9.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1783,1122,870,4112,367,1383,24,64,484,441,258,356
53033020401,Washington,King County,1,3426,1408,0,72,2.10,0,0,0,0,0,0,6.3,88313,0,1,0,1,0,0,0,0,NULL,2077,NULL,NULL,392,NULL,2077,60.63,392,11.45,404,11.81,214,6.25,1515,44.21,75,2.19,288,8.41,3,0.08,15,0.44,182,5.30,179,5.24,26,1.82,51,3.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,716,626,331,2461,185,444,3,31,302,308,61,95
53033020402,Washington,King County,1,5368,2157,0,28,0.52,0,0,0,0,0,0,7.9,107125,1,1,1,1,1,0,0,0,916,4085,916,61,607,61,4085,76.11,607,11.31,855,15.93,505,9.40,3240,60.36,106,1.97,448,8.34,12,0.22,43,0.81,236,4.40,188,3.51,79,3.68,105,4.86,916,17.07,61,1.13,220,4.10,130,2.42,743,13.84,25,0.47,96,1.80,1,0.02,3,0.05,47,0.88,33,0.61,7,0.34,21,0.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1062,1165,605,4036,242,649,13,55,373,285,181,142
53033020500,Washington,King County,1,6327,2679,0,87,1.38,0,0,0,0,0,0,7.1,99659,0,1,0,1,0,0,0,0,NULL,1705,NULL,NULL,374,NULL,1705,26.95,374,5.91,320,5.06,183,2.89,1299,20.53,63,0.99,223,3.52,6,0.09,7,0.11,108,1.71,107,1.69,44,1.63,68,2.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1806,1217,817,4394,288,1073,44,53,475,486,263,281
53033020600,Washington,King County,1,3661,1307,0,61,1.67,0,0,0,0,0,0,4.3,118060,0,0,0,0,0,0,0,0,NULL,450,NULL,NULL,69,NULL,450,12.28,69,1.87,99,2.69,56,1.53,283,7.73,21,0.58,94,2.58,2,0.05,4,0.12,45,1.23,30,0.83,7,0.57,2,0.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,527,806,462,2374,201,738,19,27,302,228,62,19
53033020700,Washington,King County,1,3569,1478,0,78,2.19,0,1,0,0,0,1,8.8,78490,0,1,0,1,0,0,0,0,NULL,706,NULL,NULL,115,NULL,706,19.78,115,3.21,146,4.10,70,1.97,507,14.21,20,0.57,102,2.85,1,0.03,5,0.14,71,1.98,65,1.81,19,1.30,53,3.58,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,963,700,449,2376,252,563,6,37,335,333,244,303
53033020800,Washington,King County,1,4309,1747,0,62,1.44,0,0,0,0,0,0,5.5,132159,0,1,0,1,0,0,0,0,174,2462,174,15,196,15,2462,57.14,196,4.56,543,12.59,458,10.62,2137,49.59,42,0.98,182,4.23,0,0.00,9,0.22,91,2.12,59,1.38,17,0.96,58,3.31,174,4.04,15,0.35,33,0.76,41,0.95,157,3.65,0,0.00,13,0.31,0,0.00,1,0.01,3,0.07,2,0.06,1,0.05,5,0.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,505,882,885,3686,92,323,3,20,185,149,111,111
